source	ja
高速Y1	高成長Y1
高速Y2	高成長Y2
高速Y3	高成長Y3
年度独立人数	年間ユニーク人数
保守1次/人；高速2次/人	保守：1人当たり年1回。高成長：1人当たり年2回
保守收入	保守シナリオ売上高
高速收入	高成長シナリオ売上高
参数	前提項目
方案A Y1	シナリオA Y1
方案A Y2	シナリオA Y2
方案A Y3	シナリオA Y3
方案B Y1	シナリオB Y1
方案B Y2	シナリオB Y2
方案B Y3	シナリオB Y3
第三年广告收入	Y3の広告収入
广告及品牌推广	広告・ブランドプロモーション
S2B2C平台收入率	S2B2Cプラットフォーム収益率
男性比例	男性比率
月序	月番号
情景分隔	シナリオ区分
口径/判断	定義・判定
保守版10%；高速版100%	保守シナリオ10%。高成長シナリオ100%
保守版1次；高速版2次	保守シナリオ1次。高成長シナリオ2次
口径	定義
管理假设	経営上の仮定
主要用途	主な用途
主要包含	主な対象範囲
示例	例
方案A（保守）｜500 → 1,000 → 2,000 家店（高速版50%）	シナリオA（保守）｜500 → 1,000 → 2,000店舗（高成長シナリオの50%）
参数引用	前提条件を参照
SaaS收入	SaaS収入
展示广告收入	ディスプレイ広告収入
各收入之和	各収益項目の合計
收入来源	収益源
Y2起	Y2以降
Y3起	Y3以降
高速版Y2起	高成長シナリオはY2以降
Y1固定2,000万日元	Y1固定2,000万円
展示广告	ディスプレイ広告
高速版Y2	高成長シナリオY2
核心交易收入	主要取引売上
工具收入	ツール売上
家	店舗
月度平均	月次平均
年度独立利用人数	年間ユニーク利用者数
百万日元	百万円
百万日元；独立列示	百万円。独立表示
模型口径、成本依据与参考边界	モデル定義・コスト根拠・参照範囲
更新日：2026-08-14。访日外客基数来自JNTO；未来路径、男性比例、渗透率与服务频次均为可编辑情景假设。	更新日：2026-08-14。訪日外国人数の基準値はJNTO資料に基づきます。将来推移、男性比率、利用率、年間利用回数は編集可能なシナリオ前提です。
主题	テーマ
模型处理	モデル上の取扱い
原因/边界	理由・境界
店铺爬坡	店舗ランプアップ
三年共36个月，年度内由上年期末线性增长到本年期末目标	3年間で計36か月。各年度は前年末から当年末目標まで線形に増加
不再把Y1目标店铺视为年初已全部存在	Y1目標店舗数が年初から全て存在する前提を廃止
保守版店铺数	保守シナリオ店舗数
每个月和每个年度均为高速增长版的50%	各月・各年度とも高成長シナリオの50%
用户指定；研发采用更严格的2→4→6人年阶段门控，不照搬高速版扩编	ユーザー指定。R&Dはより厳格な段階ゲートを採用し、2→4→6人年とする。高成長シナリオの増員計画はそのまま適用しない
新店免费期	新店無料期間
每个新店前3个月Booking平台费和SaaS月费为0	新規店舗は最初の3か月間、Bookingプラットフォーム手数料とSaaS月額料金が0
采用收费资格店铺月数和收费资格订单，不再用75%/85%/90%统一收取率近似	課金対象店舗月数と課金対象取引件数を使用し、75%／85%／90%の一律課金率による近似を廃止
免费期成本	無料期間中のコスト
订单、返点、风险准备、eKYC等仍发生	取引・リベート・リスク引当・eKYC等は引き続き発生
免费是收入减免，不代表履约和基础设施成本消失	無料期間は売上の免除であり、履行・インフラコストがなくなるわけではない
产品开发/研发	プロダクト開発・R&D
保守版2,000万→4,000万→6,000万；高速版2,000万→2亿→3亿	保守シナリオは2,000万→4,000万→6,000万円、高成長シナリオは2,000万円→2億円→3億円
保守版只做Booking/SaaS稳定性、必要合规及已验证商业化；新模块须达到交易、留存或收入门槛才投入	保守シナリオではBooking・SaaSの安定性、必須コンプライアンス、検証済み収益化のみを開発。新機能は取引・継続率・売上の基準達成後に投資
系统维护与服务器	システム保守・サーバー
固定生产级基线+每单成本+每活跃账户成本	本番環境の固定ベースライン＋1件当たりコスト＋稼働アカウント当たりコスト
独立于开发成本；含托管运维、多AZ、多环境、IM、搜索、监控、安全、备份与灾备；不含eKYC和支付费	開発費とは別科目。マネージド運用、Multi-AZ、複数環境、IM、検索、監視、セキュリティ、バックアップ、DRを含み、eKYC・決済手数料は含まない
方案A结束免费期后1,000日元/月/店；方案B仍为0	シナリオAは無料期間終了後1,000円／月／店舗、シナリオBは引き続き0
保留原模型的收费生存与免费圈地差异	従来モデルの有料収益性と無料による市場獲得の違いを維持
只确认平台10%净收入，不计商品GMV	プラットフォームの純収益10%のみを売上計上し、商品GMVは計上しない
避免虚增营业收入	売上高の過大計上を防止
现金流	キャッシュフロー
营业现金流近似营业利润	営業キャッシュフローは営業利益で近似
未建折旧、税、营运资本和资本化研发，适合早期融资规划，不等同法定报表	減価償却、税金、運転資本、資産計上R&Dは未モデル化。初期の資金調達計画用であり、法定財務諸表とは異なる
外国男性用户	訪日外国人男性ユーザー
2025年访日外客数为基准，Y1-Y3按约7%增长；高速渗透率1%/2%/4%，保守人数为高速版10%	2025年訪日外国人数を基準にY1～Y3は年約7%成長。高成長利用率は1%／2%／4%、保守シナリオ人数は高成長の10%
男性比例50%为用户指定；高速版每人2次/年，保守版每人1次/年	男性比率50%はユーザー指定。高成長は1人当たり年2回、保守は年1回
外国用户收入与成本	訪日外国人ユーザーの売上・コスト
Booking、供应链、酒店返点及订单成本计入；会员与展示广告不自动计入	Booking、サプライチェーン、ホテルリベート、取引コストを計上。会員・ディスプレイ広告は自動計上しない
酒店/住处不设容量上限；仅检验NeeDo店铺和技师的服务承接能力	ホテル・宿泊先の容量上限は設けず、NeeDo加盟店舗とセラピストの受入能力のみを検証
官方基准与链接	公的基準値・リンク
来源	出典
本模型采用的数据/用途	本モデルで使用するデータ・用途
官方链接	公式リンク
JNTO｜2025年访日外客数	JNTO｜2025年訪日外国人数
2025年全年42,683,600人；未来预测的实际基准	2025年通年42,683,600人。将来予測の実績基準
观光厅｜第5次观光立国推进基本计划	観光庁｜第5次観光立国推進基本計画
2030年访日外国人旅行者6,000万人目标；用于约7%年度增长路径锚定	2030年の訪日外国人旅行者6,000万人目標。年約7%成長の参考基準として使用
厚生劳动省 job tag｜软件开发（手机App）	厚生労働省 job tag｜ソフトウェア開発（スマートフォンアプリ）
令和7年全国年薪578.5万日元，作为研发薪资底座	令和7年の全国平均年収578.5万円をR&D人件費の基準値として使用
日本年金机构｜厚生年金保险费	日本年金機構｜厚生年金保険料
保费率18.3%，劳资各负担一半；雇主侧9.15%	保険料率18.3%。労使折半のため、事業主負担は9.15%
全国健康保险协会｜2026年度东京支部	全国健康保険協会｜2026年度 東京支部
东京健康保险率9.85%，劳资折半；用于雇主负担规划系数	東京支部の健康保険料率9.85%、労使折半。事業主負担の計画係数に使用
AWS｜东京区ECS/Fargate Web服务构成例	AWS｜東京リージョン ECS/Fargate Webサービス構成例
2024-03-06官方示例1,236.69美元/月，双AZ、Fargate、RDS Multi-AZ、ElastiCache、CloudFront、NAT、监控	2024-03-06公表例：月額1,236.69米ドル。デュアルAZ、Fargate、RDS Multi-AZ、ElastiCache、CloudFront、NAT、監視を含む
AWS｜RDS价格与Multi-AZ	AWS｜RDS料金・Multi-AZ
生产数据库采用Multi-AZ和按使用量计费的官方价格边界	本番データベースはMulti-AZを採用し、従量課金の公式料金を参考に設定
AWS｜Fargate价格	AWS｜Fargate料金
计算按vCPU、内存、存储与使用时间计费	vCPU、メモリ、ストレージ、利用時間に基づく従量課金
东京/资深/产品型研发加成35%	東京・シニア・プロダクト型R&Dの加算率35%
不是外部机构报价，可在参数设置修改	外部機関の見積りではなく、「前提条件」シートで変更可能
用户指定/管理假设	ユーザー指定・経営上の仮定
开发人年等价：方案A 2/4/6，方案B 2/20/30	開発人年換算：シナリオA 2／4／6、シナリオB 2／20／30
方案A采用阶段门控；系统维护与服务器独立，方案B在验证增长后建设完整PM/设计/移动端/后端/QA/DevOps/SRE/安全团队	シナリオAは段階ゲート方式。システム保守・サーバー費は別建て。シナリオBは成長検証後にPM、デザイン、モバイル、バックエンド、QA、DevOps、SRE、セキュリティのフルチームを構築
云固定基线与每单12日元、每账户120日元/年	クラウド固定ベースラインに加え、1件当たり12円、1アカウント当たり年120円
按NeeDo的IM、预约、支付、搜索、风控、监控和多环境复杂度规划	NeeDoのIM、予約、決済、検索、不正対策、監視、複数環境の複雑性を踏まえて計画
外国男性占50%；高速渗透1%/2%/4%、2次/年；保守人数为高速10%、1次/年	訪日外国人の男性比率は50%。高成長の利用率は1%／2%／4%、年2回。保守のユーザー数は高成長の10%、年1回
酒店/住处为既有条件，不设置酒店容量；获客渠道仍需通过酒店、OTA、旅游媒体等验证	ホテル・宿泊先は確保済みの前提で容量制約を設けない。顧客獲得チャネルはホテル、OTA、旅行メディア等で検証が必要
汇率假设	為替レート前提
150 JPY/USD	150円/USD
仅用于把AWS官方USD示例换算为直观锚点，不驱动实际AWS预算	AWS公式のUSD例を参考値として円換算するためだけに使用し、実際のAWS予算は連動させない
NeeDo 三年财务模型 V1.4（外国用户保守化及广告强化版｜中文版）	NeeDo 3カ年財務モデル V1.4（訪日外国人保守化・広告強化版｜日本語版）
更新：2026-08-14｜高速Y1广告额外增加1亿日元｜外国男性用户：高速1%→2%→4%、2次/年；保守人数为高速10%、1次/年	更新：2026-08-14｜高成長Y1の広告費を1億円追加｜訪日外国人男性ユーザー：高成長1%→2%→4%、年2回。保守は高成長の10%、年1回
方案A Y3 营业收入	シナリオA Y3 売上高
方案A Y3 营业利润	シナリオA Y3 営業利益
方案A Y3 期末现金	シナリオA Y3 期末現金
方案A Y3 店铺数	シナリオA Y3 店舗数
方案B Y3 营业收入	シナリオB Y3 売上高
方案B Y3 营业利润	シナリオB Y3 営業利益
方案B Y3 期末现金	シナリオB Y3 期末現金
方案B Y3 店铺数	シナリオB Y3 店舗数
三年核心趋势	3カ年の主要トレンド
指标	指標
外国男性用户增量（Y3）	訪日外国人男性ユーザー増分（Y3）
营业收入	売上高
定义	定義
开发/研发+维护/服务器	開発・R&D＋保守・サーバー
外国男性用户数	訪日外国人男性ユーザー数
营业利润	営業利益
外国用户年订单	訪日外国人の年間取引件数
期末现金	期末現金
总订单/技师/周	総取引件数／セラピスト／週
服务供给检查；不检查酒店容量	サービス供給能力を確認。宿泊容量は確認対象外
保守利润	保守シナリオ営業利益
高速利润	高成長シナリオ営業利益
方案A（保守）｜500 → 1,000 → 2,000 家店（仅按摩业务高速版50%）	シナリオA（保守）｜500 → 1,000 → 2,000店舗（マッサージ事業のみ・高成長シナリオの50%）
店铺按月爬坡；外国男性用户与消费次数额外计入。酒店/住处不作为容量约束。金额单位：百万日元。	店舗数は月次でランプアップし、訪日外国人男性ユーザーと利用回数を追加計上します。ホテル・宿泊先の収容力は制約条件に含めません。金額単位：百万円。
项目	項目
计算说明	計算方法
一、经营规模与订单	1．事業規模・取引件数
期末店铺数	期末店舗数
年度目标；方案A自动等于方案B的50%	年度目標。シナリオAはシナリオBの50%に自動連動
年平均活跃店铺数	年間平均稼働店舗数
12个月月均活跃店铺的平均值	12か月の月平均稼働店舗数
收费店铺月数	課金対象店舗月数
已完成3个月免费期的店铺月数合计	3か月の無料期間を終了した店舗月数の合計
每店技师数	店舗当たりセラピスト数
平均技师数	平均セラピスト数
按月度店铺爬坡计算	月次店舗ランプアップに基づき算出
每店用户数	店舗当たりユーザー数
平均本地用户数	国内平均ユーザー数
按月度店铺爬坡计算；外国年度用户另见专项表	月次店舗ランプアップに基づき算出。訪日外国人の年間ユーザーは専用シートを参照
技师周均完单数	セラピスト1人当たり週平均完了件数
年完成订单（含外国用户）	年間完了件数（訪日外国人を含む）
本地订单+外国用户订单，均计履约成本	国内取引＋訪日外国人取引。いずれも履行コストを計上
年收费资格订单（含外国用户）	年間課金対象取引件数（訪日外国人を含む）
本地及外国订单均按店铺免费期比例计算	国内・訪日外国人取引とも店舗の無料期間比率に基づき算出
单笔Booking平台费	Booking1件当たりプラットフォーム手数料
每个新店免费月数	新規店舗1店舗当たり無料月数
当前为3个月	現在は3か月
二、营业收入（百万日元）	2．売上高（百万円）
二、营业收入（百万日元）	2．売上高（百万円）
Booking平台费收入	Bookingプラットフォーム手数料収入
收费资格订单×单笔平台费	課金対象取引件数×1件当たりプラットフォーム手数料
收费店铺月数×SaaS月费	課金対象店舗月数×SaaS月額料金
S2B2C供应链收入	S2B2Cサプライチェーン収入
全部订单×采购比例×耗材额×平台收入率	全取引×仕入比率×消耗品販売額×プラットフォーム収益率
用户会员收入	ユーザー会員売上
平均用户×转化率×月费×12	平均ユーザー数×転換率×月額料金×12
Dou+短时流量收入	Dou+短時間トラフィック収入
收费店铺月数×付费率×月消费	課金対象店舗月数×有料利用率×月平均支出
竞价排名收入	入札型ランキング収入
达人广告撮合收入	クリエイター広告マッチング収入
广告主×活动次数×预算×抽成	広告主数×キャンペーン回数×予算×手数料率
平均用户×年度广告ARPU	平均ユーザー数×年間広告ARPU
酒店预约返点收入	ホテル予約リベート収入
全部订单×酒店联合比例×返点	全取引×ホテル連携比率×リベート
营业收入合计	売上高合計
三、营业成本及期间费用（百万日元）	3．売上原価・販管費（百万円）
三、营业成本及期间费用（百万日元）	3．売上原価・販管費（百万円）
产品开发及研发成本	プロダクト開発・R&D費
Y1固定2,000万日元；不含系统维护和服务器	Y1は2,000万円で固定。システム保守・サーバー費を含まない
系统维护、服务器及第三方基础设施	システム保守・サーバー・外部インフラ
独立科目：固定基线+订单驱动+活跃账户驱动	独立科目：固定ベースライン＋取引件数ドライバー＋稼働アカウントドライバー
非研发人件费及法定福利	R&D以外の人件費・法定福利費
不含产品开发及研发成本	プロダクト開発・R&D費を含まない
消费者获客与品牌曝光；高速Y1额外增加1亿日元	消費者獲得・ブランド認知。高成長Y1は1億円を追加
商务拓展及店铺导入	事業開発・店舗オンボーディング
供给侧渠道开拓与店铺上线激活；详见费用口径说明	供給側チャネル開拓と店舗アクティベーション。詳細は「費用定義」参照
客服、安全及保险固定费	カスタマーサポート・安全・保険固定費
客服外包、风险运营、安全检查及固定保险；详见费用口径说明	カスタマーサポート外注、リスク運用、安全確認、固定保険。詳細は「費用定義」参照
行政管理及其他费用	管理・その他費用
公司存续、财税法务及后台管理；详见费用口径说明	法人維持、税務・会計、法務、バックオフィス管理。詳細は「費用定義」参照
eKYC费用	eKYC費用
新增店铺、技师及需认证用户	新規店舗、セラピスト、認証対象ユーザー
履约保险/风险准备	履行保険・リスク引当
全部完成订单×准备金	全完了件数×リスク引当額
支付通道及点数结算	決済ゲートウェイ・ポイント精算
收费收入×支付费率	課金収入×決済手数料率
用户完单返点	取引完了ユーザーリベート
全部完成订单×100 NDP	全完了件数×100 NDP
介绍人分润	紹介者レベニューシェア
Booking贡献利润×介绍覆盖×分润比例	Booking限界利益×紹介者経由比率×レベニューシェア率
运营费用合计	運営費用合計
费用合计	費用合計
营业利润	営業利益
收入－费用	売上－費用
营业利润率	営業利益率
营业利润/营业收入	営業利益/売上高
方案B（仅按摩业务高速增长）｜1,000 → 2,000 → 4,000 家店	シナリオB（高成長・マッサージ事業のみ）｜1,000 → 2,000 → 4,000店舗
方案B（高速增长）｜1,000 → 2,000 → 4,000 家店	シナリオB（高成長）｜1,000 → 2,000 → 4,000店舗
营业利润	営業利益
收入－费用	売上－費用
NeeDo 三年财务模型 V1.4｜参数设置（唯一修改页）	NeeDo 3カ年財務モデル V1.4｜前提条件（入力専用シート）
蓝色数字为可修改输入；绿色数字为跨表/计算公式。金额未特别注明时为日元。外国用户人数与消费次数分开建模。	青字は変更可能な入力値、緑字はシート間参照・計算式です。特記がない金額単位は円です。訪日外国人ユーザー数と利用回数は分けてモデル化しています。
一、经营规模与交易假设	1．事業規模・取引前提
依据/说明	根拠・説明
方案B为高速增长目标；方案A按同年方案B的50%自动联动	シナリオBは高成長目標。シナリオAは同年度のシナリオBの50%に自動連動
保守/高速店铺比	保守／高成長の店舗数比率
用户指定：保守版店铺数=高速增长版的一半	ユーザー指定：保守シナリオの店舗数は高成長シナリオの50%
由36个月线性爬坡的月均活跃店铺数计算，不再按年初即全部上线	36か月の線形ランプアップによる月平均稼働店舗数から算出し、年初から全店舗が稼働する前提にはしない
当前统一假设	現時点の共通前提
已包含整体活跃度，不再另乘活跃率	全体の稼働率を織り込み済みのため、稼働率を重ねて乗じない
经营周数	年間稼働週数
每年48周，月度模型按4周/月折算	年間48週、月次モデルは4週／月で換算
每个新店前3个月Booking平台费和SaaS月费均为0；订单与返点等成本仍发生	新規店舗は最初の3か月間、Bookingプラットフォーム手数料とSaaS月額料金が0。取引・リベート等のコストは発生する
仅对结束免费期后的收费资格订单收取	無料期間終了後の課金対象取引にのみ適用
SaaS月费/店	SaaS月額料金／店舗
延续原模型：方案A收费，方案B免费圈地；均保留收入行	従来モデルを踏襲し、シナリオAは有料、シナリオBは無料で市場獲得を優先。両シナリオとも売上科目は残す
eKYC单价	eKYC単価
按每个新增验证对象一次性计算	新規認証対象者ごとに1回のみ計上
用户eKYC比例	ユーザーeKYC対象比率
仅需要上门服务等用户进行认证	訪問サービス等で必要なユーザーのみ認証
二、第二年及第三年新增收入假设	2．Y2・Y3の追加収益前提
平台采购订单比例	プラットフォーム仕入対象取引比率
Y2起，假设50%的订单由店铺通过NeeDo采购耗材	Y2以降、取引の50%で店舗がNeeDo経由で消耗品を仕入れる前提
单次服务耗材销售额	サービス1回当たり消耗品販売額
管理假设：单次按摩耗材销售额250日元	経営上の仮定：マッサージ1回当たりの消耗品販売額は250円
用户会员转化率	ユーザー会員転換率
低比例付费会员情景	低い有料会員転換率を想定
用户会员月费	ユーザー会員月額料金
基础会员价格假设	基本会員価格の前提
Dou+付费店铺比例	Dou+利用店舗比率
短时间购买流量；仅对已结束免费期店铺建模	短時間のトラフィック購入。無料期間終了後の店舗のみをモデル化
Dou+月均消费/付费店	Dou+利用店舗当たり月平均支出
流量加速包平均消费	トラフィック加速パッケージの平均支出
竞价排名付费店铺比例	入札型ランキング利用店舗比率
第三年上线	Y3に提供開始
竞价排名月均消费/付费店	入札型ランキング利用店舗当たり月平均支出
达人撮合广告主数	クリエイターマッチング広告主数
广告主年均活动次数	広告主当たり年間平均キャンペーン回数
达人撮合活动次数	クリエイターマッチングのキャンペーン回数
单次活动预算	キャンペーン1回当たり予算
达人撮合广告预算	クリエイターマッチング広告予算
达人撮合平台抽成率	クリエイターマッチング手数料率
按活动预算抽成	キャンペーン予算に対する手数料
展示广告年ARPU/用户	ディスプレイ広告年間ARPU／ユーザー
三、开发、系统维护、服务器及运营费用假设	3．開発・システム保守・サーバー・運営費用前提
日本软件开发年薪均值	日本のソフトウェア開発者平均年収
厚生劳动省 job tag：令和7年软件开发（手机App/软件）全国年薪578.5万日元	厚生労働省job tag：令和7年 ソフトウェア開発（スマートフォンアプリ・ソフトウェア）の全国平均年収578.5万円
东京/资深/产品型团队加成	東京・シニア・プロダクト型チーム加算
管理假设：覆盖东京、资深工程、产品/安全/DevOps稀缺性	経営上の仮定：東京勤務、シニアエンジニア、プロダクト・セキュリティ・DevOps人材の希少性を反映
雇主法定福利及附加负担	事業主法定福利費・付随負担
规划系数：含厚生年金雇主9.15%、健康保险雇主约4.925%及其他雇主负担	計画係数：厚生年金の事業主負担9.15%、健康保険の事業主負担約4.925%、その他の事業主負担を含む
招聘、设备、开发工具/人年	採用・機器・開発ツール／人年
电脑、软件、招聘与培训等人均年度开销	PC、ソフトウェア、採用、研修等の1人当たり年間費用
研发综合成本/人年	R&D総合コスト／人年
年薪均值×(1+东京/资深加成)×(1+雇主负担)+工具，按10万日元取整	平均年収×（1＋東京・シニア加算）×（1＋事業主負担）＋ツール費。10万円単位で丸め
产品开发/研发人年等价	プロダクト開発・R&D人年換算
保守版按阶段门控，仅在核心交易与商业化验证后由2→4→6人年；高速版2→20→30人年	保守シナリオは段階ゲート方式とし、主要取引と収益化の検証後に2→4→6人年へ増員。高成長シナリオは2→20→30人年
产品开发及研发成本（不含维护/服务器）	プロダクト開発・R&D費（システム保守・サーバー費を除く）
研发综合成本/人年×人年等价；Y1两个方案均为2,000万日元	R&D総合コスト／人年×人年換算。Y1は両シナリオとも2,000万円
系统维护及云基础设施固定基线	システム保守・クラウドインフラ固定ベースライン
独立于开发成本：含托管运维、生产多AZ、测试/预发、数据库、缓存、队列、搜索、IM、监控、安全、备份及灾备	開発費とは別科目。マネージド運用、本番Multi-AZ、テスト・ステージング、DB、キャッシュ、キュー、検索、IM、監視、セキュリティ、バックアップ、DRを含む
每笔完成订单云资源成本	完了1件当たりクラウドコスト
管理假设：API/队列/日志/风控/通知的订单量驱动成本	経営上の仮定：API、キュー、ログ、不正対策、通知に係る取引件数連動コスト
每活跃账户年云资源成本	稼働アカウント当たり年間クラウドコスト
管理假设：用户与技师的IM、媒体、存储、推送、搜索和可观测性	経営上の仮定：ユーザー・セラピストのIM、メディア、ストレージ、プッシュ通知、検索、可観測性
独立科目：固定基线+订单量×单笔成本+(平均用户+平均技师)×账户成本；不含eKYC和支付费	独立科目：固定ベースライン＋取引件数×1件当たりコスト＋（平均ユーザー＋平均セラピスト）×アカウントコスト。eKYC・決済手数料は含まない
不含产品开发/研发成本，避免重复计算	プロダクト開発・R&D費を含めず、二重計上を防止
高速Y1原800万基础上额外增加1亿日元；用于消费者获客、品牌曝光及访日客触达	高成長Y1は従来の800万円に1億円を追加。消費者獲得、ブランド認知、訪日旅行者へのリーチに使用
店铺/机构渠道开拓及上线激活的外部费用；内部人员工资另计	店舗・法人チャネル開拓と稼働開始支援の外部費用。社内人件費は別計上
客服外包、风险运营、安全检查和固定保险费；每单风险准备另计	カスタマーサポート外注、リスク運用、安全確認、固定保険料。1件当たりリスク引当は別計上
维持公司法人及后台运营：财税、法务、办公、差旅、通用软件、银行及牌照等	法人維持とバックオフィス運営：税務・会計、法務、オフィス、出張、共通ソフトウェア、銀行、許認可等
每单履约保险/风险准备	1件当たり履行保険・リスク引当
随全部完成订单变化，免费期也计提	全完了件数に連動し、無料期間中も引当
